cluster_id	x	y	num_recent_articles	cluster_category	growth_rating	key_concepts
84872	-90.2114	-71.396	228	5	15.43	198432,37537,12177,43800,43431
72062	-76.1376	-37.2588	239	5	3.22	40293,71377,120209,90737,67314
62380	-160.446	20.6144	283	5	33.33	81553,189242,88626,50242,34047
65319	-78.1228	-68.1877	242	5	3.11	115356,66662,232076,11853,83010
72024	-45.6533	178.6693	104	0	74.75	83745,82121,213834,82170,213788
72037	-63.8937	155.0247	154	0	67.32	8195,233589,24839,233590,8232
65522	37.5116	84.0004	60	0	81.72	115789,183307,201327,98055,188029
73414	88.2569	187.606	93	0	67.29	75831,178558,228016,208689,208639
38456	-10.4352	110.3819	32	0	60.57	107383,255181,186539,121237,158385
78478	82.1613	71.7566	56	0	82.0	49423,161961,260159,272267,49397
85621	174.3481	19.3457	9	0	96.74	157837,93475,264816,96994,66316
80969	119.0836	13.0239	46	0	96.29	217767,130562,219653,161458,32820
65326	194.2173	15.2398	7	0	97.38	178888,38324,204910,32249,182958
54541	29.2673	102.3735	51	0	55.4	79188,36890,73388,73387,254806
72928	253.1749	116.4605	160	0	14.97	25888,148371,208642,46420,213212
52466	195.0308	394.3122	9	0	99.78	147624,147625
74530	50.8458	122.8445	104	0	7.69	101055,150676,21125,229618,244202
51584	75.1601	-113.0623	49	0	96.08	231372,213298,186559,123128,163753
32216	126.4625	7.8212	30	0	22.57	210648,219570,131647,197966,38360
82992	304.505	-99.8862	11	0	86.86	160699,21660,41492,39023,104369
75105	28.9306	92.6426	9	0	95.14	216612,45347,100945,134137,120287
68451	-28.9227	146.0073	38	0	54.06	106411,181773,193371,180639,207888
43145	20.8274	114.2971	25	0	93.59	47784,208258,48378,134221,61628
64440	34.1663	57.9198	38	0	21.98	217749,193044,252283,54030,161098
52181	33.4857	77.3862	59	0	63.0	45479,6771,6772,6023,260179
49385	-17.9104	110.87	63	0	51.27	186550,171040,195621,171047,252378
64485	34.8511	60.4931	64	0	73.51	108058,252276,45134,15614,228451
81062	22.6677	121.0204	19	0	88.12	161853,93555,203878,230966,77676
73385	45.7219	49.3107	45	0	21.92	121863,183614,121865,221804,121866
53131	-57.1399	148.7358	234	0	14.64	165591,187984,186388,188081,264369
79072	-40.4702	126.8283	63	0	86.05	19556,247507,223911,52045,247503
72877	-22.6482	100.6562	104	0	71.61	199693,246954,269761,189705,173924
43416	32.4303	113.0083	53	0	71.76	215861,203527,221814,219327,221822
76745	37.3232	52.8409	54	0	74.3	50421,269873,205503,118227,224933
25984	35.4335	55.4019	87	0	73.13	252276,204363,102667,39026,265981
81246	108.4971	163.1232	32	0	72.14	24507,255952,258379,191267,191247
43214	-74.6402	87.9239	124	0	63.78	4371,75323,132900,264022,164990
70875	-6.5292	133.6337	77	0	72.63	115241,126003,56201,121267,233575
53133	-9.0642	115.9659	44	0	89.95	186540,243499,243524,127253,59510
64428	-6.7794	89.3249	113	0	61.89	63267,213200,161126,169977,246062
76459	28.7437	127.4483	102	0	84.24	31271,2118,190780,128670,22902
64866	-4.0382	103.4863	160	0	81.43	252280,95626,191229,272793,252285
73217	37.7909	47.2032	112	0	26.98	63049,263429,263408,264224,263423
17942	55.2751	46.6692	208	0	14.75	70362,225615,166397,228447,100547
56485	116.4222	159.6263	114	0	85.24	211395,192948,264379,210200,211412
76002	26.671	85.4356	22	0	93.33	32909,100180,105404,57421,3954
77018	-21.3684	110.1235	33	0	96.21	20274,122784,13792,60235,99932
80275	41.6055	46.1561	25	0	99.97	130823,228420,94799,85467,223218
77044	-176.4899	138.2638	19	0	99.66	253370,40964,50531,14129,57158
69716	-20.9161	119.8076	86	0	2.73	194915,160867,4044,135380,160868
36995	120.5833	-1.8292	84	0	77.3	112814,45583,174098,112816,20247
62481	32.1377	98.3286	81	0	49.38	166380,166381,259976,111249,57110
69594	29.5407	66.3961	96	0	37.33	40726,30945,243524,236219,274239
74845	-21.5797	107.6016	57	0	71.4	51632,165684,158097,113030,141991
68994	98.9814	154.3503	19	0	99.9	116794,248060,68366,248012,126994
71353	133.6098	23.439	49	0	74.74	143409,255926,72006,248071,59080
28143	108.3619	183.4342	677	0	3.5	194507,244691,236659,54476,273900
75174	260.687	160.1458	254	0	31.8	6247,181608,144602,144605,189514
62813	23.4383	121.4762	203	0	64.91	7632,203535,198739,189542,7631
61524	125.52	12.8852	104	0	76.98	173264,207376,79160,126627,4732
75785	131.4891	28.4089	149	0	23.27	158430,186426,155881,221444,272267
61705	117.9614	169.4334	92	0	46.86	161975,21134,245625,161963,245623
48076	115.597	159.857	122	0	41.7	221790,16828,37284,37285,12874
56359	63.6968	133.9085	187	0	9.61	104425,233500,23027,60307,233503
67939	133.5969	25.7567	150	0	25.2	65702,178751,195623,171960,163754
50253	5.4949	112.4541	16	0	94.06	190780,39529,234410,167871,184310
55926	126.5486	164.9413	212	0	53.07	6353,161945,21099,224425,224426
80369	120.14	21.7786	75	0	75.72	4832,207366,72654,195544,213257
53388	51.7588	120.6796	229	0	75.1	190764,76510,190765,250235,159599
79935	88.3511	179.4583	70	0	17.47	30032,142566,272222,75876,38485
75331	46.1457	122.9741	269	0	19.79	126291,244683,254849,115019,183024
71902	-22.9422	139.503	50	0	55.25	158304,112762,119682,247995,158269
64050	120.0814	172.5963	171	0	1.22	51662,125463,190799,159598,146843
58605	111.3613	178.1404	164	0	13.77	248068,225013,200044,18273,258997
82631	119.0938	168.9842	16	0	96.57	82932,82933,82935,217645,217644
5332	126.3065	29.8863	532	0	13.44	11289,15608,82044,82664,92483
65129	-0.3537	103.0813	165	0	92.47	44180,188100,188081,240790,188067
78457	10.9966	103.8943	52	0	96.56	195527,9418,223841,197907,93334
79821	144.4474	19.844	134	0	7.45	248565,146018,273328,96819,250615
83122	107.4415	189.8361	97	0	40.16	153208,948,194609,939,245616
49510	18.1922	108.2514	10	0	80.95	107369,30355,131130,112870,14849
48031	121.2654	84.5003	21	0	70.2	137558,186597,172124,258406,184987
70026	202.6068	-210.3716	10	0	98.63	155161,111327,96032,168597,90086
37436	54.7819	208.3012	92	0	22.29	196884,228002,196869,250403,14862
84655	125.1018	182.6097	27	0	88.04	213292,213244,186830,63690,100
82769	97.7447	189.3519	34	0	82.13	131238,171950,186848,62192,1314
85118	119.3566	193.1569	32	0	39.94	225058,174162,183295,245590,148105
86346	125.6357	181.1549	13	0	91.19	157825,51730,108454,197400,229097
82281	91.678	199.428	134	0	5.57	165272,253428,51650,253371,125411
63846	126.6675	183.588	56	0	40.62	35814,51636,51652,40364,101067
74661	117.2069	190.4929	30	0	86.13	25120,78679,39640,132303,184679
70207	94.1781	203.8575	55	0	81.42	244734,245632,202152,116866,184469
82436	76.8372	206.4017	45	0	55.18	190989,125295,253370,148209,125296
22580	62.9416	198.9921	256	0	46.92	75869,224450,224437,103925,231568
50201	103.7068	198.6643	246	0	30.57	205898,264577,244750,244755,212005
32740	74.9258	204.8009	263	0	24.23	253370,226727,253199,253159,20492
69785	120.1331	195.3625	11	0	94.06	110083,161204,170672,272394,154040
63197	55.8693	215.879	89	0	77.37	196884,107368,242186,196459,196458
70637	139.3655	116.0036	88	0	73.83	231002,200358,125332,79583,80164
76795	124.9925	23.5449	222	0	46.21	252044,173271,173249,217344,201981
72142	-42.3244	160.2766	46	0	91.4	144616,193025,99454,91366,193055
43002	-4.5894	129.0739	80	0	93.37	104268,258387,254881,15622,55084
68458	-5.7812	141.9999	159	0	69.71	103503,83750,185965,214172,222967
