video_id	video_title	date	segment_number	segment_timestamp	segment_url	segment_topic	reference	article_link	segment_name	doi	open_alex_id	classification
07P0eUFYqWM	Materiał super-kuloodporny - Planeta nad słońcami - Jak policja amerykańska zabija? | CN #250	2025-05-26T08:00:00Z	1)	05:27	https://www.youtube.com/watch?v=07P0eUFYqWM&t=327s	lekkim metalicznym materiale, który ma wyjątkową zdolność zatrzymywania pocisków	Surjadi, J. U., Wang, L., Qu, S., Aymon, B. F., Ding, J., Zhou, X., ... & Lu, Y. (2025). Exploiting multiscale dynamic toughening in multicomponent alloy metamaterials for extreme impact mitigation. Science Advances, 11(19), eadt0589.	https://www.science.org/doi/10.1126/sciadv.adt0589	Materiał super-kuloodporny	https://doi.org/10.1126/sciadv.adt0589	https://openalex.org/W4410140347	Wytwarzanie|Technologie produkcyjne|Druk D metali i kompozytów
07P0eUFYqWM	Materiał super-kuloodporny - Planeta nad słońcami - Jak policja amerykańska zabija? | CN #250	2025-05-26T08:00:00Z	2)	13:25	https://www.youtube.com/watch?v=07P0eUFYqWM&t=805s	planecie krążącej wokół dwóch brązowych karłów, w dodatku ponad nimi	Baycroft, T. A., Sairam, L., Triaud, A. H., & Correia, A. C. (2025). Evidence for a polar circumbinary exoplanet orbiting a pair of eclipsing brown dwarfs. Science Advances, 11(16), eadu0627.	https://www.science.org/doi/10.1126/sciadv.adu0627	Planeta nad słońcami	https://doi.org/10.1126/sciadv.adu0627	https://openalex.org/W4409493941	Fizyka|Kosmos|Asteroidy i wietrzenie kosmiczne
07P0eUFYqWM	Materiał super-kuloodporny - Planeta nad słońcami - Jak policja amerykańska zabija? | CN #250	2025-05-26T08:00:00Z	3)	20:16	https://www.youtube.com/watch?v=07P0eUFYqWM&t=1216s	statystykach postrzeleń (a właściwie zastrzeleń) ludzi przez amerykańskich policjantów.	Jain, V., & Hemenway, D. (2025). Firearm Homicides by Police in the United States: Who is Shot and How Many Times?. American Journal of Preventive Medicine.	https://www.sciencedirect.com/science/article/pii/S0749379725000492	Jak policja amerykańska zabija?	https://doi.org/10.1016/j.amepre.2025.02.004	https://openalex.org/W4409731854	inne|Oczy i widzenie
iOsaeoAEo1Y	Drukowanie ciała od wewnątrz - 99,999% dna oceanu - Focze książki | Czytamy naturę #249	2025-05-19T08:00:58Z	1)	04:39	https://www.youtube.com/watch?v=iOsaeoAEo1Y&t=279s	druku 3D, kontrolowanym ultradźwiękami, na miejscu we wnętrzu żywego organizmu	Davoodi, E., Li, J., Ma, X., Najafabadi, A. H., Yoo, J., Lu, G., ... & Gao, W. (2025). Imaging-guided deep tissue in vivo sound printing. Science, 388(6747), 616-623.	https://www.science.org/doi/10.1126/science.adt0293	Drukowanie ciała od wewnątrz	https://doi.org/10.1126/science.adt0293	https://openalex.org/W4410251333	Wytwarzanie|Technologie produkcyjne|Druk D metali i kompozytów
iOsaeoAEo1Y	Drukowanie ciała od wewnątrz - 99,999% dna oceanu - Focze książki | Czytamy naturę #249	2025-05-19T08:00:58Z	2)	11:59	https://www.youtube.com/watch?v=iOsaeoAEo1Y&t=719s	dokładnych obliczeniach tego, jak słabo znamy dno oceanu	Bell, K. L., Johannes, K. N., Kennedy, B. R., & Poulton, S. E. (2025). How little we’ve seen: A visual coverage estimate of the deep seafloor. Science Advances, 11(19), eadp8602.	https://www.science.org/doi/10.1126/sciadv.adp8602	99,999% dna oceanu	https://doi.org/10.1126/sciadv.adp8602	https://openalex.org/W4410140387	Biologia|Ekologia i ochrona środowiska|Jakość wody, mikroorganizmy wodne
iOsaeoAEo1Y	Drukowanie ciała od wewnątrz - 99,999% dna oceanu - Focze książki | Czytamy naturę #249	2025-05-19T08:00:58Z	3)	16:42	https://www.youtube.com/watch?v=iOsaeoAEo1Y&t=1002s	historii foczych okładek, których dzieje sięgają soboru i finansowania pewnej krucjaty.	Lévêque, É., Teasdale, M. D., Fiddyment, S., Bro-Jørgensen, M. H., Spindler, L., Macleod, R., ... & Collins, M. (2025). Hiding in plain sight: the biomolecular identification of pinniped use in medieval manuscripts. Royal Society Open Science, 12(4), 241090.	https://royalsocietypublishing.org/doi/10.1098/rsos.241090	Focze książki	https://doi.org/10.1098/rsos.241090	https://openalex.org/W4409261235	Biologia|Ekologia i ochrona środowiska|Życie w oceanach i rybołówstwo
QoQS42aXM4g	Plazmonowy modulator elektrooptyczny! - Pierwsza róża - Gąsienica-kolekcjonerka kości | CN #248	2025-05-12T08:00:25Z	1)	05:06	https://www.youtube.com/watch?v=QoQS42aXM4g&t=306s	Ultra-szerokopasmowym plazmonowym modulatorze elektrooptycznym - serio!	Horst, Y., Moor, D., Chelladurai, D., Blatter, T., Fernandes, S., Kulmer, L., ... & Leuthold, J. (2025). Ultra-wideband MHz to THz plasmonic EO modulator. Optica, 12(3), 325-328.	https://opg.optica.org/optica/fulltext.cfm?uri=optica-12-3-325&id=568565	Plazmonowy modulator elektrooptyczny!	https://doi.org/10.1364/optica.544016	https://openalex.org/W4407135767	Fizyka|Fotonika|Komunikacja optyczna
QoQS42aXM4g	Plazmonowy modulator elektrooptyczny! - Pierwsza róża - Gąsienica-kolekcjonerka kości | CN #248	2025-05-12T08:00:25Z	2)	17:53	https://www.youtube.com/watch?v=QoQS42aXM4g&t=1073s	kolorze kwiatów pierwotnej róży	Cheng, B., Zhao, K., Zhou, M., Bourke, P. M., Zhou, L., Wu, S., ... & Yu, C. (2025). Phenotypic and genomic signatures across wild Rosa species open new horizons for modern rose breeding. Nature Plants, 1-15.	https://www.nature.com/articles/s41477-025-01955-5	Pierwsza róża	https://doi.org/10.1038/s41477-025-01955-5	https://openalex.org/W4409151575	Chemia|Żywność|Produkty roślinne i ich przetwarzanie
QoQS42aXM4g	Plazmonowy modulator elektrooptyczny! - Pierwsza róża - Gąsienica-kolekcjonerka kości | CN #248	2025-05-12T08:00:25Z	3)	20:48	https://www.youtube.com/watch?v=QoQS42aXM4g&t=1248s	gąsienicy mięsożernej, która ozdabia sobie domek kawałkami ciał swoich ofiar.	Rubinoff, D., San Jose, M., & Doorenweerd, C. (2025). Hawaiian caterpillar patrols spiderwebs camouflaged in insect prey’s body parts. Science, 388(6745), 428-430.	https://www.science.org/doi/10.1126/science.ads4243	Gąsienica-kolekcjonerka kości	https://doi.org/10.1126/science.ads4243	https://openalex.org/W4409833809	Biologia|Biologia organizmów|Owady
Ox5Qwf0PLqA	Anatomia chińskiej propagandy - Nasz ocean magmy - Jak dożyć 70-tki? | Czytamy naturę #247	2025-04-21T08:00:24Z	1)	05:36	https://www.youtube.com/watch?v=Ox5Qwf0PLqA&t=336s	wielkim badaniu propagandy w chińskich gazetach	Waight, H., Yuan, Y., Roberts, M. E., & Stewart, B. M. (2025). The decade-long growth of government-authored news media in China under Xi Jinping. Proceedings of the National Academy of Sciences, 122(11), e2408260122.	https://www.pnas.org/doi/10.1073/pnas.2408260122	Anatomia chińskiej propagandy	https://doi.org/10.1073/pnas.2408260122	https://openalex.org/W4408323556	Społeczeństwo|Państwo i władza|Media i dziennikarstwo
